Date,Notes,Bookmaker,Sport / League,Selection,Bet Type,My Variable,Fixture / Event,Stake,Odds (US),BB,Win
2024-07-03,20240703174832,bet365,Unknown,"1. Money Line - PHX Mercury
2. Brittney Griner: 25+ Points
3. Brittney Griner: 7+ Rebounds",Multi Bet - 3 legs,,PHX Mercury @ DAL Wings,6.00,+800,N,N
2024-07-03,20240703165923,bet365,MLB,"1. Money Line - CIN Reds
2. Under 8.5 Runs
3. Andrew Abbott: 1+ Pitcher Strikeouts",Multi Bet - 3 legs,Boost,CIN Reds @ NY Yankees,32.00,+425,N,Y
2024-07-02,20240702185737,bet365,MLB,Alec Bohm (PHI Phillies) - Under 0.5,Under / Over,,,77.00,-140,N,Y
2024-07-02,20240702184604,bet365,Unknown,"1. A Run in the Bottom of the 1st - No
2. A Run in the Top of the 1st - No",Multi Bet - 2 legs,,PHI Phillies @ CHI Cubs,20.00,+100,N,N
2024-07-02,20240702184150,bet365,Unknown,Ariel Atkins: 5+ Rebounds,Unknown,,,110.00,+155,N,N
2024-07-02,20240702171456,bet365,MLB,"1. Money Line - MIA Marlins
2. Jazz Chisholm: 1+ Runs
3. Bryan De La Cruz: 1+ Runs",Multi Bet - 3 legs,,BOS Red Sox @ MIA Marlins,15.00,+750,N,N
2024-07-02,20240702111907,bet365,Soccer,"1. Match result will be Brazil
2. Vinicius Jr. - Over 0.5 Shots on Target",Multi Bet - 2 legs,Boost,Brazil v Colombia,20.00,+200,N,N
2024-06-18,20240618184240,bet365,MLB,"1. Money Line - CHI Cubs
2. Justin Steele - Over 5.5 Strikeouts
3. Justin Steele - Under 5.5 Hits Allowed",Multi Bet - 3 legs,,SF Giants @ CHI Cubs,30.00,+600,N,Y
2024-06-18,20240618180615,bet365,NHL,"1. Ryan Nugent-Hopkins to Score a Goal
2. Over 1.5 Goals
3. Under 9.5 Goals",Multi Bet - 3 legs,Boost,EDM Oilers @ FLA Panthers,40.00,+475,N,N
2024-06-18,20240618112545,bet365,Soccer,"1. Match result will be Portugal
2. Cristiano Ronaldo - Over 0.5 Shots on Target",Multi Bet - 2 legs,Boost,Portugal v Czech Republic,20.00,+125,N,Y
